compound_id,canonical_smiles,measured_solubility_logs,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,heavy_atom_count,num_aromatic_rings,num_aliphatic_rings,num_heteroatoms,fraction_csp3,molar_refractivity,ro5_violations,ro5_compliant
cycloheximide,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,281.352,1.0415,83.47,2,4,3,2,20,0,2,5,0.8,72.5565,0,True
3-Heptanoyloxymethylphenytoin,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301,394.471,3.9531,75.71,1,4,9,3,29,2,1,6,0.3478,108.7597,0,True
isophorone,CC1=CC(=O)CC(C)(C)C1,-1.06,138.21,2.3218,17.07,0,1,0,1,10,0,1,1,0.6667,41.779,0,True
Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,212.249,0.7949,75.27,2,3,3,1,15,0,1,5,0.7,53.8604,0,True
5-Nonanone,CCCCC(=O)CCCC,-2.58,142.242,2.9359,17.07,0,1,6,0,10,0,0,1,0.8889,44.057,0,True
Glutethimide,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.337,217.268,1.771,46.17,1,2,2,2,16,1,1,3,0.3846,60.7947,0,True
3-Methylpentane,CCC(C)CC,-3.68,86.178,2.4425,0.0,0,0,2,0,6,0,0,0,1.0,29.746,0,True
Etofenprox,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,376.496,6.372,27.69,0,3,9,3,28,3,0,3,0.28,113.251,1,True
Methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,250.301,3.0025,34.89,0,2,1,3,19,3,0,3,0.125,76.814,0,True
Chloroacetonitrile,N#CCCl,-0.092,75.498,0.7488,23.79,0,1,0,0,4,0,0,2,0.5,16.333,0,True
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001,333.604,5.3915,18.46,0,3,5,1,17,1,0,7,0.4,78.552,1,True
Ethisterone,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,312.453,3.8826,37.3,1,2,0,4,23,0,4,2,0.7619,90.4928,0,True
Pyridazine,c1ccnnc1,1.1,80.09,0.4766,25.78,0,2,0,1,6,1,0,2,0.0,22.032,0,True
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,215.894,4.3002,0.0,0,0,0,1,10,1,0,4,0.0,46.482,0,True
Diosgenin,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,414.63,5.5088,38.69,1,3,0,6,30,0,6,3,0.9259,117.9988,1,True
o-Aminophenol,Nc1ccccc1O,-0.72,109.128,0.9744,46.25,2,2,0,1,8,1,0,2,0.0,32.5192,0,True
Ethyl nonanoate,CCCCCCCCC(=O)OCC,-3.8,186.295,3.3001,26.3,0,2,8,0,13,0,0,2,0.9091,54.626,0,True
metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601,279.336,1.8443,55.84,0,4,5,1,20,1,0,5,0.4667,76.756,0,True
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,-2.05,209.245,2.192,47.56,1,3,3,1,15,1,0,4,0.3636,57.2897,0,True
2-Chlorobutane,CCC(C)Cl,-1.96,92.569,2.0237,0.0,0,0,1,0,5,0,0,1,1.0,25.606,0,True
2-Napthol,Oc1ccc2ccccc2c1,-2.28,144.173,2.5454,20.23,1,1,0,2,11,2,0,1,0.0,45.6128,0,True
Oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.696000000000001,345.226,4.217,57.26,0,4,3,2,22,2,0,7,0.4667,86.584,0,True
1-Hexyne ,C#CCCCC,-2.36,82.146,1.8098,0.0,0,0,2,0,6,0,0,0,0.6667,28.358,0,True
1-Nonyne ,C#CCCCCCCC,-4.24,124.227,2.9801,0.0,0,0,5,0,9,0,0,0,0.7778,42.209,0,True
2-Chlorotoluene,Cc1ccccc1Cl,-3.52,126.586,2.6484,0.0,0,0,0,1,8,1,0,1,0.1429,36.189,0,True
Diisopropyl ether ,CC(C)OC(C)C,-1.1,102.177,1.8198,9.23,0,1,2,0,7,0,0,1,1.0,31.357,0,True
Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,248.307,1.6838,86.18,2,4,2,2,17,2,0,5,0.0,67.1606,0,True
Methyl hydrazine,CNN,1.34,46.073,-0.9205,38.05,2,2,0,0,3,0,0,2,1.0,13.2471,0,True
Propyne,C#CC,-0.41,40.065,0.6395,0.0,0,0,0,0,3,0,0,0,0.3333,14.507,0,True
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,298.304,3.2284,63.84,0,6,7,1,19,1,0,7,0.3333,77.214,0,True
Propetamphos,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,281.314,2.3388,56.79,1,5,7,0,17,0,0,7,0.7,71.0407,0,True
Acrolein,C=CC=O,0.57,56.064,0.3713,17.07,0,1,1,0,4,0,0,1,0.0,16.261,0,True
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12,-2.296,136.114,-0.3538,74.43,2,3,0,2,10,2,0,5,0.0,34.5094,0,True
6-hydroxyquinoline,Oc1ccc2ncccc2c1,-2.16,145.161,1.9404,33.12,1,2,0,2,11,2,0,2,0.0,43.4078,0,True
Fluorobenzene,Fc1ccccc1,-1.8,96.104,1.8257,0.0,0,0,0,1,7,1,0,1,0.0,26.4,0,True
1-Chloropropane,CCCCl,-1.47,78.542,1.6352,0.0,0,0,1,0,4,0,0,1,1.0,21.011,0,True
Ethyl acetate,CCOC(C)=O,-0.04,88.106,0.5694,26.3,0,2,1,0,6,0,0,2,0.75,22.307,0,True
"2,2-Dimethylpentane",CCCC(C)(C)C,-4.36,100.205,2.8326,0.0,0,0,1,0,7,0,0,0,1.0,34.363,0,True
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,-4.0,148.249,3.2287,0.0,0,0,0,1,11,1,0,0,0.4545,50.127,0,True
eucalyptol,CC12CCC(CC1)C(C)(C)O2,-1.64,154.253,2.7441,9.23,0,1,0,3,11,0,3,1,1.0,45.527,0,True
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,314.466,4.7938,52.6,0,4,15,0,22,0,0,4,0.8889,88.67,0,True
"4,4'-PCB",Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,223.102,4.6604,0.0,0,0,1,2,14,2,0,2,0.0,61.898,0,True
"2,3-Dimethylpyridine",Cc1cccnc1C,0.38,107.156,1.6984,12.89,0,1,0,1,8,1,0,1,0.2857,33.711,0,True
Carvone,C=C(C)C1CC=C(C)C(=O)C1,-2.06,150.221,2.4879,17.07,0,1,1,1,11,0,1,1,0.5,46.302,0,True
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,342.875,5.4203,18.46,0,5,8,1,18,1,0,7,0.4545,87.304,1,True
"Etoposide (148-167,25mg/ml)",COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,588.562,1.3386,160.83,3,13,5,7,42,2,5,13,0.5517,138.3454,2,False
Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,252.316,5.7372,0.0,0,0,0,5,20,5,0,0,0.0,87.652,1,True
"2,4-Dinitrotoluene",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,182.135,1.8114,86.28,0,4,2,1,13,1,0,6,0.1429,44.4878,0,True
2-bromonaphthalene,Brc1ccc2ccccc2c1,-4.4,207.07,3.6023,0.0,0,0,0,2,11,2,0,1,0.0,51.648,0,True
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,221.26,1.6262,53.93,1,3,3,1,16,1,0,5,0.2727,63.3647,0,True
6-methoxypteridine,COc1cnc2ncncc2n1,-1.139,162.152,0.4284,60.79,0,5,1,2,12,2,0,5,0.1429,41.68,0,True
nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,266.304,2.6512,58.12,1,4,1,4,20,2,2,5,0.2667,76.3252,0,True
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658,313.747,3.1887,58.4,0,6,7,1,18,1,0,9,0.7778,73.582,0,True
"2-Methyl-1,3-Butadiene ",C=CC(=C)C,-2.03,68.119,1.7485,0.0,0,0,1,0,5,0,0,0,0.2,25.011,0,True
linalool,C=CC(C)(O)CCC=C(C)C,-1.99,154.253,2.6698,20.23,1,1,4,0,11,0,0,1,0.6,49.4858,0,True
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,278.335,3.613,27.69,0,5,5,1,16,1,0,6,0.4,71.891,0,True
Cyclohexanol ,OC1CCCCC1,-0.44,100.161,1.3114,20.23,1,1,0,1,7,0,1,1,1.0,29.0918,0,True
5-Allyl-5-methylbarbital,C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,182.179,-0.0652,75.27,2,3,2,1,13,0,1,5,0.375,44.6024,0,True
Epiandrosterone,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.16,290.447,3.9591,37.3,1,2,0,4,21,0,4,2,0.9474,82.7408,0,True
mannitol,OCC(O)C(O)C(O)C(O)CO,0.06,182.172,-3.5854,121.38,6,6,5,0,12,0,0,6,1.0,38.1988,1,True
4-Methylbiphenyl,Cc1ccc(-c2ccccc2)cc1,-4.62,168.239,3.662,0.0,0,0,1,2,13,2,0,0,0.0769,56.615,0,True
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,215.688,1.7771,62.73,2,5,4,1,14,1,0,6,0.625,57.7594,0,True
Phenylthiourea,NC(=S)Nc1ccccc1,-1.77,152.222,1.3421,38.05,2,1,1,1,10,1,0,3,0.0,46.8501,0,True
4-Heptanone,CCCC(=O)CCC,-1.3,114.188,2.1557,17.07,0,1,4,0,8,0,0,1,0.8571,34.823,0,True
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,-0.72,100.161,1.6215,17.07,0,1,0,0,7,0,0,1,0.8333,30.136,0,True
4-Chlorophenol ,Oc1ccc(Cl)cc1,-0.7,128.558,2.0456,20.23,1,1,0,1,8,1,0,2,0.0,33.1168,0,True
Cyclohexanone,O=C1CCCCC1,-0.6,98.145,1.5196,17.07,0,1,0,1,7,0,1,1,0.8333,28.092,0,True
m-Methylaniline,Cc1cccc(N)c1,-0.85,107.156,1.5772,26.02,1,1,0,1,8,1,0,1,0.1429,35.5914,0,True
Trichloroacetonitrile,N#CC(Cl)(Cl)Cl,-2.168,144.388,1.8802,23.79,0,1,0,0,6,0,0,4,0.5,25.903,0,True
norflurazon,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046,303.671,2.9464,46.92,1,3,2,2,20,2,0,8,0.1667,69.3927,0,True
2-Decanone,CCCCCCCCC(C)=O,-3.3,156.269,3.326,17.07,0,1,7,0,11,0,0,1,0.9,48.674,0,True
Ipazine,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,243.742,2.1915,53.94,1,5,5,1,16,1,0,6,0.7,67.1567,0,True
Benzocaine,CCOC(=O)c1ccc(N)cc1,-2.616,165.192,1.4455,52.32,1,3,2,1,12,1,0,3,0.2222,46.8109,0,True
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-3.59,181.449,3.6468,0.0,0,0,0,1,9,1,0,3,0.0,41.472,0,True
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.09,343.217,4.2335,43.07,0,3,1,4,23,3,1,6,0.1176,91.901,0,True
"1,2-Benzenediol",Oc1ccccc1O,0.62,110.112,1.0978,40.46,2,2,0,1,8,1,0,2,0.0,29.7716,0,True
Reverse Transcriptase inhibitor 1,CCN1c2ncccc2C(=O)N(C)c2cccnc21,-2.62,254.293,2.2246,49.33,0,4,1,3,19,2,1,5,0.2143,73.8875,0,True
Dimethyl sulfide,CSC,-0.45,62.137,0.9792,0.0,0,1,0,0,3,0,0,1,1.0,19.439,0,True
2-Bromotoluene,Cc1ccccc1Br,-2.23,171.037,2.7575,0.0,0,0,0,1,8,1,0,1,0.1429,38.879,0,True
O-Ethyl carbamate,CCOC(N)=O,0.85,89.094,0.1016,52.32,1,2,1,0,6,0,0,3,0.6667,21.2094,0,True
megestrol acetate,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,384.516,4.5753,60.44,0,4,2,4,28,0,4,4,0.7083,106.411,0,True
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,-1.22,116.204,1.6593,20.23,1,1,2,0,8,0,0,1,1.0,35.6828,0,True
Napthalene,c1ccc2ccccc2c1,-3.6,128.174,2.8398,0.0,0,0,0,2,10,2,0,0,0.0,43.948,0,True
N-Ethylaniline,CCNc1ccccc1,-1.7,121.183,2.1184,12.03,1,1,2,1,9,1,0,1,0.25,40.6057,0,True
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.097,252.273,1.7696,58.2,2,2,2,3,19,2,1,4,0.0667,70.3384,0,True
"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02,256.348,5.763,0.0,0,0,0,4,20,4,0,0,0.1,88.434,1,True
Dialifor,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,393.854,3.8782,55.84,0,6,8,2,23,1,1,9,0.4286,96.578,0,True
Methoxychlor,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,345.653,5.2059,18.46,0,2,4,2,21,2,0,5,0.25,88.121,1,True
TEFLUBENZURON,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28,381.112,4.5117,58.2,2,2,2,2,24,2,0,10,0.0,79.2209,0,True
3-Pentanoyloxymethylphenytoin,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.678,366.417,3.1729,75.71,1,4,7,3,27,2,1,6,0.2857,99.5257,0,True
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,198.653,2.4335,32.34,1,1,1,1,13,1,0,4,0.2222,54.1577,0,True
Flutriafol,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,301.296,2.4924,50.94,1,3,4,3,22,3,0,6,0.125,75.8208,0,True
triamcinolone diacetate,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,478.513,1.7621,127.2,2,8,4,4,34,0,4,9,0.68,115.8816,0,True
1-Bromobutane,CCCCBr,-2.37,137.02,2.1814,0.0,0,0,2,0,5,0,0,1,1.0,28.702,0,True
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,-6.98,393.698,4.7366,0.0,0,0,0,1,10,1,0,4,0.0,57.242,0,True
4-Methyl-2-pentanone,CC(=O)CC(C)C,-0.74,100.161,1.6215,17.07,0,1,2,0,7,0,0,1,0.8333,30.136,0,True
cycloate,CCSC(=O)N(CC)C1CCCCC1,-3.4,215.362,3.5141,20.31,0,2,3,1,14,0,1,3,0.9091,62.781,0,True
4-Chloroanisole,COc1ccc(Cl)cc1,-2.78,142.585,2.3486,9.23,0,1,1,1,9,1,0,2,0.1429,38.004,0,True
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000000000001,505.206,6.4902,59.32,0,4,6,3,28,2,1,6,0.2727,114.102,2,False
Talbutal,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,224.26,0.961,75.27,2,3,4,1,16,0,1,5,0.5455,58.3834,0,True
Fenitrothion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04,277.238,2.7993,70.83,0,6,5,1,17,1,0,8,0.3333,66.7644,0,True
1-Iodonapthalene,Ic1cccc2ccccc12,-4.55,254.07,3.4444,0.0,0,0,0,2,11,2,0,1,0.0,56.665,0,True
Sorbitol,OCC(O)C(O)C(O)C(O)CO,1.09,182.172,-3.5854,121.38,6,6,5,0,12,0,0,6,1.0,38.1988,1,True
Ethanethiol,CCS,-0.6,62.137,0.9361,0.0,1,1,0,0,3,0,0,1,1.0,19.527,0,True
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.48,133.405,2.0289,0.0,0,0,1,0,5,0,0,3,1.0,26.214,0,True
Pyrolan,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,245.282,2.2411,47.36,0,3,2,2,18,2,0,5,0.2308,68.012,0,True
o-Hydroxybenzamide,NC(=O)c1ccccc1O,-1.82,137.138,0.4911,63.32,2,2,1,1,10,1,0,3,0.0,36.6247,0,True
o-Nitrotoluene,Cc1ccccc1[N+](=O)[O-],-2.33,137.138,1.9032,43.14,0,2,1,1,10,1,0,3,0.1429,37.8334,0,True
"5,5-Diisopropylbarbital",CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766,212.249,0.6508,75.27,2,3,2,1,15,0,1,5,0.7,53.7904,0,True
2-Ethyltoluene,CCc1ccccc1C,-3.21,120.195,2.5574,0.0,0,0,1,1,9,1,0,0,0.3333,40.557,0,True
1-Chloroheptane,CCCCCCCCl,-4.0,134.65,3.1956,0.0,0,0,5,0,8,0,0,1,1.0,39.479,0,True
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,-2.4,184.195,0.1588,75.27,2,3,2,1,13,0,1,5,0.625,44.6964,0,True
Bibenzyl ,c1ccc(CCc2ccccc2)cc1,-4.62,182.266,3.4718,0.0,0,0,3,2,14,2,0,0,0.1429,60.292,0,True
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-1.74,167.85,2.5938,0.0,0,0,1,0,6,0,0,4,1.0,30.988,0,True
RTI 23,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-5.153,283.331,3.1223,54.46,1,4,2,3,21,2,1,5,0.25,82.6012,0,True
2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,-5.84,192.261,4.3014,0.0,0,0,0,3,15,3,0,0,0.0667,66.191,0,True
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,278.348,3.6004,52.6,0,4,8,1,20,1,0,4,0.5,76.823,0,True
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,261.919,4.0144,29.46,1,2,1,1,13,1,0,6,0.1429,54.6988,0,True
Dimecron,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523,299.691,2.395,65.07,0,5,8,0,18,0,0,8,0.7,69.4405,0,True
Equilin,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.282,268.356,3.7375,37.3,1,2,0,4,20,1,3,2,0.5,77.7068,0,True
Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.5760000000000005,414.827,1.1716,127.79,1,8,8,2,27,2,0,12,0.2,94.857,0,True
p-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,-2.41,153.137,1.6034,52.37,0,3,2,1,11,1,0,4,0.1429,39.6484,0,True
1-Chlorohexane,CCCCCCCl,-3.12,120.623,2.8055,0.0,0,0,4,0,7,0,0,1,1.0,34.862,0,True
"2,2',3,3',4,4',5,5'-PCB",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16,429.772,8.5808,0.0,0,0,1,2,20,2,0,8,0.0,91.958,1,True
Raffinose,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41,504.438,-7.5714,268.68,11,16,8,3,34,0,3,16,1.0,101.2748,3,False
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,366.718,10.3886,0.0,0,0,23,0,26,0,0,0,1.0,122.156,1,True
RTI 5,CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324,253.305,2.8296,36.44,0,3,1,3,19,2,1,4,0.2,76.0925,0,True
"1,1-Dichloroethane",CC(Cl)Cl,-1.29,98.96,1.81,0.0,0,0,0,0,4,0,0,2,1.0,21.168,0,True
Sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1,-1.34,172.209,-0.0838,86.18,2,3,1,1,11,1,0,5,0.0,42.2276,0,True
Isopropalin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49,309.366,4.2528,89.52,0,5,8,1,22,1,0,7,0.6,86.6348,0,True
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,290.832,3.6444,0.0,0,0,0,1,12,0,1,6,1.0,57.846,0,True
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,345.401,3.8896,56.79,1,5,8,1,22,1,0,7,0.5333,91.8042,0,True
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,-4.0,181.449,3.6468,0.0,0,0,0,1,9,1,0,3,0.0,41.472,0,True
Tetrachloromethane,ClC(Cl)(Cl)Cl,-2.31,153.823,2.5529,0.0,0,0,0,0,5,0,0,4,1.0,26.143,0,True
"3,4-Dichloronitrobenzene",O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2,192.001,2.9016,43.14,0,2,1,1,11,1,0,5,0.0,43.1164,0,True
Cyclooctanol,OC1CCCCCCC1,-1.29,128.215,2.0916,20.23,1,1,0,1,9,0,1,1,1.0,38.3258,0,True
17a-Methyltestosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.999,302.458,4.2693,37.3,1,2,0,4,22,0,4,2,0.85,87.3338,0,True
Dulcin,CCOc1ccc(NC(N)=O)cc1,-2.17,180.207,1.5759,64.35,2,2,3,1,13,1,0,4,0.2222,50.8171,0,True
"trans-1,4-Dimethylcyclohexane",CC1CCC(C)CC1,-4.47,112.216,2.8326,0.0,0,0,0,1,8,0,1,0,1.0,36.796,0,True
"1,7-phenantroline",c1cnc2c(c1)ccc1ncccc12,-2.68,180.21,2.783,25.78,0,2,0,3,14,3,0,2,0.0,57.044,0,True
Methyl t-butyl ether ,COC(C)(C)C,-0.24,88.15,1.4313,9.23,0,1,0,0,6,0,0,1,1.0,26.762,0,True
Anethole,CC=Cc1ccc(OC)cc1,-3.13,148.205,2.7283,9.23,0,1,2,1,11,1,0,1,0.2,47.702,0,True
1-Hexadecanol,CCCCCCCCCCCCCCCCO,-7.0,242.447,5.46,20.23,1,1,14,0,17,0,0,1,1.0,77.3978,1,True
uracil,O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002,112.088,-0.9368,65.72,2,2,0,1,8,1,0,4,0.0,27.6834,0,True
adenine,Nc1ncnc2nc[nH]c12,-2.12,135.13,-0.0649,80.48,2,4,0,2,10,2,0,5,0.0,36.0961,0,True
"2,2',3,4,5-PCB",Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,326.437,6.6206,0.0,0,0,1,2,17,2,0,5,0.0,76.928,1,True
Ancymidol,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.596,256.305,2.1311,55.24,1,4,4,3,19,2,1,4,0.3333,70.7488,0,True
Benzo(b)fluoranthene,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,252.316,5.6404,0.0,0,0,0,5,20,4,1,0,0.0,85.884,1,True
Carbanilide,O=C(Nc1ccccc1)Nc1ccccc1,-3.15,212.252,3.3306,41.13,2,1,2,2,16,2,0,3,0.0,65.5254,0,True
phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322,232.239,0.7004,75.27,2,3,2,2,17,1,1,5,0.25,60.0924,0,True
"2',3,4-PCB",Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29,257.547,5.3138,0.0,0,0,1,2,15,2,0,3,0.0,66.908,1,True
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,206.289,2.9035,32.34,1,1,2,1,15,1,0,3,0.4167,63.2367,0,True
Azintamide,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,259.762,2.0905,46.09,0,4,5,1,16,1,0,6,0.5,65.694,0,True
"2,2-Dimethyl-1-butanol",CCC(C)(C)CO,-1.04,102.177,1.4149,20.23,1,1,2,0,7,0,0,1,1.0,31.1578,0,True
Ethyl pentanoate,CCCOC(=O)CCC,-1.75,130.187,1.7397,26.3,0,2,4,0,9,0,0,2,0.8571,36.158,0,True
"2,4,6-Trinitrotoluene",Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22,227.132,1.7196,129.42,0,6,3,1,16,1,0,9,0.1429,51.1422,0,True
Bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,397.524,3.7726,64.63,1,6,10,1,23,1,0,9,0.5714,100.8155,0,True
Cycloheptane,C1CCCCCC1,-3.51,98.189,2.7307,0.0,0,0,0,1,7,0,1,0,1.0,32.319,0,True
Propyl formate,CCCOC=O,-0.49,88.106,0.5694,26.3,0,2,3,0,6,0,0,2,0.75,22.307,0,True
2-Isopropyltoluene,Cc1ccccc1C(C)C,-3.76,134.222,3.1184,0.0,0,0,1,1,10,1,0,0,0.4,45.268,0,True
m-Chloroaniline,Nc1cccc(Cl)c1,-1.37,127.574,1.9222,26.02,1,1,0,1,8,1,0,2,0.0,35.8644,0,True
"2,4-Dimethylpentane",CC(C)CC(C)C,-4.26,100.205,2.6885,0.0,0,0,2,0,7,0,0,0,1.0,34.293,0,True
Dibenzofurane,c1ccc2c(c1)oc1ccccc12,-4.6,168.195,3.586,13.14,0,1,0,3,13,3,0,1,0.0,53.72,0,True
ethofumesate,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42,286.349,2.0576,61.83,0,5,4,2,19,1,1,6,0.5385,70.9818,0,True
Fluometuron,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43,232.205,2.7989,32.34,1,1,1,1,16,1,0,6,0.3,54.1497,0,True
Acridine,c1ccc2nc3ccccc3cc2c1,-3.67,179.222,3.388,12.89,0,1,0,3,14,3,0,1,0.0,59.249,0,True
Cortisone,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,360.45,1.9898,91.67,2,5,2,4,26,0,4,5,0.7619,94.1426,0,True
glucose,OCC1OC(O)C(O)C(O)C1O,0.74,180.156,-3.2214,110.38,5,6,1,1,12,0,1,6,1.0,35.986,0,True
3-Methylphenol,Cc1cccc(O)c1,-0.68,108.14,1.7006,20.23,1,1,0,1,8,1,0,1,0.1429,32.8438,0,True
Indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-3.5860000000000003,365.842,2.0834,92.5,2,4,3,3,24,2,1,8,0.1875,92.3784,0,True
Lovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005,404.547,4.1955,72.83,1,5,6,3,29,0,3,5,0.75,110.8378,0,True
