compound_id,canonical_smiles,heavy_atom_count,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,polarizability_bohr3,heat_capacity_cv
QM9_00732,CCOc1n[nH]cc1N,9,-5.0205,1.0286,6.0464,1.4893,75.89,33.91
QM9_00733,CCC1C2CC3C1C23,8,-6.596,2.3565,8.9525,0.2332,77.52,28.727
QM9_00734,CC12CN3C4CC1C2C43,9,-5.962,2.479,8.4383,1.6643,80.35,28.927
QM9_00735,CC12CCN3C1CC32,8,-6.1688,2.5198,8.6886,1.5931,74.76,27.209
QM9_00736,CC12C3=CC4C(C1C3)N42,9,-5.5783,-0.8136,4.7647,1.8699,80.45,28.156
QM9_00737,CCOCCC(C)O,8,-6.7049,1.9619,8.6695,0.5302,76.53,36.907
QM9_00738,CC1COC1C1CCC1,9,-6.4681,2.0055,8.4763,1.6945,85.83,34.535
QM9_00739,CNc1c(C)coc1N,9,-4.7974,1.2272,6.0246,1.5341,79.69,35.282
QM9_00740,CN=C(N)C(=O)C#N,8,-7.2382,-2.8518,4.3865,5.7102,64.88,29.433
QM9_00741,C#CCc1ccn(C)c1,9,-5.4913,1.1837,6.675,2.048,84.8,33.387
QM9_00742,COc1nccnc1F,9,-6.6069,-1.1891,5.4178,2.4902,68.43,27.096
QM9_00743,CCC1(C)CC1NC=O,9,-6.6178,0.7401,7.358,3.3342,83.38,37.84
QM9_00744,CC#CC(=NC)NC=O,9,-6.4246,-0.9769,5.4477,5.9588,86.09,35.118
QM9_00745,C1=CCCCCCC=C1,9,-6.1906,0.0952,6.2886,0.3266,93.39,34.475
QM9_00746,C#CC12CC1(C)CC2C,9,-6.1062,1.1129,7.2192,0.861,91.12,36.946
QM9_00747,C1C2CC3(CC4NC43)C12,9,-6.0545,2.3266,8.3811,1.5449,82.53,30.147
QM9_00748,C1=C2C3C(C1)C1C2N31,8,-5.6654,-1.2898,4.3756,2.1181,69.12,22.241
QM9_00749,Nc1c[nH]c(=O)nc1O,9,-5.5021,-1.0177,4.4844,5.4294,69.21,29.228
QM9_00750,C#CC1C2CN3CC1C23,9,-5.6763,1.0667,6.743,1.29,79.98,28.983
QM9_00751,O=C1CC(=O)C2(O)CC12,9,-6.8682,-1.0667,5.7987,1.9979,67.37,29.542
QM9_00752,CCC1(C)C(O)CC1O,9,-6.7566,1.5619,8.3185,1.2427,80.67,39.785
QM9_00753,C#Cc1cccnc1O,9,-6.1933,-1.1429,5.0532,1.0825,82.26,28.414
QM9_00754,ON=C1CC2(CC2)C1O,9,-6.7756,-0.1252,6.6477,1.5225,77.2,33.732
QM9_00755,CC1C2NC3C1(O)C23O,9,-5.6409,1.7198,7.3607,1.8397,71.43,32.959
QM9_00756,COC1CC(C)C1=NO,9,-6.5498,0.0354,6.5852,0.8903,80.24,36.184
QM9_00757,CN1CC1CC1CC1,8,-5.9865,2.3429,8.3294,1.1863,79.52,32.336
QM9_00758,CN=c1occnc1C,9,-5.9947,-1.5293,4.4654,1.7531,82.61,31.29
QM9_00759,N#CC#CC(N)C#N,8,-8.0219,-1.9048,6.1171,3.9041,69.42,27.063
QM9_00760,CC#CC12CC1C(C)O2,9,-5.9321,0.7837,6.7158,1.662,88.62,34.424
QM9_00761,CC1C(C=O)C2C(C)C12,9,-6.5852,-0.5932,5.9947,3.0681,83.53,34.764
QM9_00762,OC12C3COC1CC2C3,9,-6.3974,1.883,8.2804,0.9962,73.65,29.944
QM9_00763,CC1NC12CC1(CO1)C2,9,-6.5498,1.7306,8.2804,1.4407,80.42,33.487
QM9_00764,COc1c[nH]nnc1=N,9,-5.7334,-1.1783,4.5579,6.1421,75.6,29.268
QM9_00765,O=C1C(O)C2(O)CC12,8,-6.3947,-0.5469,5.845,2.4929,58.33,28.209
QM9_00766,Nc1noc(=O)o1,7,-7.0586,0.3238,7.3797,5.1783,41.27,19.934
QM9_00767,CN(C)C(C#N)C1CC1,9,-6.313,0.8844,7.1974,3.4125,83.43,36.488
QM9_00768,Nc1cncnc1N,8,-5.8096,-0.332,5.4777,3.7846,67.71,25.901
QM9_00769,OC1C=Cc2c[nH]cc21,9,-5.3715,-0.1116,5.26,2.9849,78.6,28.648
QM9_00770,CC1CC=CNC(=O)O1,9,-6.0518,0.2041,6.2532,3.9861,75.49,31.403
QM9_00771,CC1OC(=O)C1(C)CO,9,-7.377,0.1524,7.5294,3.7396,70.99,34.89
QM9_00772,C1=CC2CC2CCC1,8,-6.0709,0.7565,6.8273,0.4164,80.65,28.613
QM9_00773,CC(N)c1onnc1N,9,-6.1362,-0.8327,5.3008,4.9962,72.05,33.158
QM9_00774,COC1CCC(C=O)C1,9,-6.6641,-0.4218,6.2423,3.8834,80.38,34.087
QM9_00775,C#CCC(C=O)OC,8,-6.8246,-0.9878,5.8368,2.4331,67.56,31.934
QM9_00776,Nc1cc(=O)[nH]nc1F,9,-6.2341,-1.3524,4.879,4.1538,65.49,28.441
QM9_00777,C#CC(=O)NC(=N)NC,9,-6.0491,-1.4558,4.5933,2.8564,78.31,34.605
QM9_00778,N=C1OCC12CCO2,8,-7.0205,0.1306,7.1512,2.8319,62.16,25.549
QM9_00779,C1CC2OC1CC1CC12,9,-6.5879,1.9592,8.5444,1.2347,79.09,29.19
QM9_00780,CC12OC1C1CCC12,8,-6.645,2.1143,8.7593,1.7192,70.89,27.854
QM9_00781,O=C([O-])C1(CO)CC[NH2+]1,9,-6.8491,0.0789,6.9253,4.644,67.34,31.665
QM9_00782,CNc1noc(CN)n1,9,-6.1688,-0.0789,6.0872,2.3419,71.57,32.17
QM9_00783,N#CCCn1cccn1,9,-6.928,0.0762,7.0069,3.7703,76.24,28.603
QM9_00784,CNC(=O)C1COC1=N,9,-6.879,0.2095,7.0913,1.2667,71.03,31.554
QM9_00785,C1C2C3C4C5C(C5N24)N13,9,-5.3171,1.8123,7.1294,0.3028,72.5,23.305
QM9_00786,Cn1ccc(=O)[nH]c1=N,9,-6.0845,-0.8,5.2845,3.251,76.55,29.819
QM9_00787,OC1C2C3CC(O)(C3)C12,9,-6.5661,2.0327,8.5988,2.5805,74.53,31.642
QM9_00788,O=C1C2CC3CN2C13,8,-6.675,-0.6095,6.0654,3.4311,64.14,22.731
QM9_00789,O=C1OCOCC2OC12,9,-7.4396,-0.6939,6.7457,4.6816,61.95,26.924
QM9_00790,N#CCC12C3CC1C2O3,9,-6.6532,0.8,7.4532,4.6293,72.03,27.855
QM9_00791,NC(=O)n1cn[nH]c1=O,9,-6.5226,-0.6286,5.894,4.8343,60.63,28.017
QM9_00792,C#CCc1nc[nH]c1C,9,-5.777,0.8191,6.596,3.5725,80.19,32.498
QM9_00793,CC1(N)C2CNC21C#N,9,-6.2613,0.3265,6.5879,4.378,78.34,33.532
QM9_00794,CC12CC1OCC21CN1,9,-6.1988,1.8912,8.0899,2.5025,77.88,32.337
QM9_00795,N#CCC1CC(=O)CN1,9,-6.5008,-0.9415,5.5593,3.0856,72.18,30.904
QM9_00796,CC1OC2C3OC1C23C,9,-5.8314,1.9048,7.7362,2.2109,74.47,31.086
QM9_00797,CCC1(N)COC1C#N,9,-7.0233,0.0082,7.0314,5.2266,75.76,34.966
QM9_00798,N=c1ncc(F)c[nH]1,8,-5.6872,-1.7034,3.9837,2.9856,61.88,23.5
QM9_00799,CN1C2C3C4C3C2(O)C41,9,-6.0518,2.0,8.0518,1.1341,74.26,29.684
QM9_00800,N#CC12OC3CC1(N)C32,9,-6.5307,-0.0218,6.509,5.6483,70.68,28.826
QM9_00801,C#CC1(C2(C)CC2)CC1,9,-6.3484,1.4259,7.7743,0.6965,88.45,36.954
QM9_00802,C#CC12CC3C(O)C1C32,9,-6.4845,0.9524,7.4369,1.2934,79.99,31.06
QM9_00803,COC1COC12CCC2,9,-6.5226,1.9211,8.4437,1.9981,79.2,33.565
QM9_00804,CC1CCN(C=O)C1=O,9,-6.6804,-0.8218,5.8559,5.8973,74.34,31.592
QM9_00805,CC(C)(CO)N1CC1,8,-6.1933,1.8422,8.0355,1.0815,74.44,35.591
QM9_00806,CC12OC3C1C1C3C12O,9,-6.2994,1.932,8.2314,0.5986,70.15,29.573
QM9_00807,COC12CC=CC1C2C,9,-6.128,0.5415,6.6695,1.1367,83.36,34.435
QM9_00808,O=CCC1COC1,7,-6.9008,-0.8082,6.0926,0.9463,57.62,24.457
QM9_00809,CC1=CC(O)COCC1,9,-6.4246,0.3184,6.7403,2.3697,81.03,34.512
QM9_00810,O=CC1=CNC(C=O)C1,9,-6.0355,-1.2436,4.7946,3.5109,76.36,29.514
QM9_00811,OC1C2C3C(O)C1(O)C23,9,-6.6477,1.8504,8.4981,1.5247,66.98,31.381
QM9_00812,CC(=O)N1CC(C)C1C,9,-6.2804,0.8898,7.1675,3.7585,84.18,37.171
QM9_00813,CCC(C)(C=O)OC=N,9,-7.026,-1.1946,5.8314,1.1563,78.81,37.51
QM9_00814,C1OCC2CC(CO2)O1,9,-6.5988,2.0626,8.6614,2.2537,69.97,28.313
QM9_00815,CC1CC2CC(=O)OC12,9,-7.1865,0.4191,7.6056,4.2532,74.78,30.418
QM9_00816,CCC1(C)OC1C,7,-6.9144,2.4545,9.3689,1.7245,67.69,31.318
QM9_00817,CC1OC(C=O)CC1=O,9,-6.8165,-1.2354,5.5811,2.3141,68.66,31.536
QM9_00818,CC1OC2CC(=O)C12C,9,-6.596,-0.7347,5.8641,1.8941,75.42,33.361
QM9_00819,CC1CC2(CO)OCC12,9,-6.5906,1.7116,8.3022,2.4874,77.96,34.16
QM9_00820,CC1CC(C)(O)CCO1,9,-6.7375,1.9456,8.6832,1.7995,81.86,37.657
QM9_00821,C#CC1C=CCC(=O)O1,9,-7.1403,-0.3429,6.7974,4.162,72.84,29.766
QM9_00822,N=C1C=C(N)C(CO)O1,9,-5.7198,0.0218,5.7416,4.8225,75.63,32.249
QM9_00823,CC(O)C(C)CCCO,9,-7.0886,2.0191,9.1077,0.1998,86.1,42.73
QM9_00824,CN1C2C3C1C2N3C,8,-5.7089,2.0109,7.7199,1.1796,72.45,28.073
QM9_00825,CC(C)C1C2OCOC21,9,-6.675,2.3456,9.0206,1.0231,77.92,33.637
QM9_00826,CC(O)C(CO)CCO,9,-6.9008,2.0164,8.9172,1.3549,78.47,41.536
QM9_00827,[NH2+]=CNCC(=O)C(=O)[O-],9,-4.694,-2.2422,2.4517,18.2805,70.14,32.509
QM9_00828,CC12CC3CC3C1(C)C2,9,-6.6396,2.4381,9.0777,0.0175,88.56,35.24
QM9_00829,COc1cc(C)c(O)[nH]1,9,-4.3511,1.6436,5.9947,0.4426,76.41,35.394
QM9_00830,O=C1OCCC(O)C1=O,9,-7.3389,-2.3837,4.9552,4.1694,62.39,29.206
QM9_00831,C#CC1C2OC(C)C12C,9,-6.2069,1.2735,7.4804,2.0166,82.49,35.014
QM9_00832,C1OCC(=NC2CC2)O1,9,-6.3783,0.585,6.9634,1.248,78.1,30.043
QM9_00833,CCNc1ncnnn1,9,-6.4926,-1.9429,4.5497,4.662,75.59,29.227
QM9_00834,N=c1cnonc1N,8,-6.4246,-1.9429,4.4844,2.7822,63.16,25.062
QM9_00835,C#CC12CC3C(C1C)N32,9,-6.6804,0.4735,7.1539,1.9021,82.23,31.456
QM9_00836,O=C1N2CC2C12CO2,8,-6.8763,-0.9225,5.9539,4.3594,58.7,24.109
QM9_00837,N#CC#CC1(N)COC1,9,-7.3035,-1.3606,5.943,3.2102,81.22,31.054
QM9_00838,OCC12CCC1OC2,8,-6.4981,1.6,8.0981,2.4986,67.27,28.871
QM9_00839,CC(=O)Cn1ncnn1,9,-7.328,-0.9442,6.3838,4.5654,67.47,28.293
QM9_00840,OCC12C3CC4C3C1N42,9,-6.3348,2.0164,8.3512,2.2351,73.81,28.239
QM9_00841,CC1=CCC2COC1O2,9,-6.3647,0.4218,6.7865,1.6412,75.56,29.635
QM9_00842,CC(C)C(=NO)C(C)O,9,-6.5498,0.283,6.8328,1.4152,81.68,40.973
QM9_00843,N#CC12CN1C(=O)C2N,9,-7.3743,-1.2408,6.1362,3.473,67.89,29.421
QM9_00844,CC1C(=O)NCC1C=O,9,-6.7348,-0.966,5.7688,2.5715,73.49,32.221
QM9_00845,CC12OCC3(O)C1OC32,9,-6.6613,1.5783,8.2396,0.1807,67.32,29.997
QM9_00846,CC#CC1OC2CC2O1,9,-6.411,0.9878,7.3961,1.2805,75.74,31.005
QM9_00847,CC12C3CN1C(C=O)C32,9,-6.3947,-0.6449,5.7498,3.7684,76.7,30.395
QM9_00848,C#CCC1CC1C1CO1,9,-6.8954,1.6436,8.5389,2.2782,81.7,33.8
QM9_00849,O=CC12CCCC1N2,8,-6.6559,-0.6014,6.0545,3.3385,68.65,26.969
QM9_00850,COC(=O)C(O)C(C)=O,9,-7.2409,-1.1538,6.0872,4.2819,66.43,34.901
QM9_00851,CC1OC23CCC12OC3,9,-6.5062,1.1048,7.611,1.3033,73.75,31.015
QM9_00852,O=CCOCC(=O)CO,9,-7.3171,-1.2436,6.0736,2.3906,66.28,34.071
QM9_00853,COC1(C=O)C(O)C1O,9,-6.4954,-0.7946,5.7008,1.4568,66.78,34.289
QM9_00854,OCC12C3OC1C2C3O,9,-6.1334,1.6599,7.7961,2.0932,67.62,30.886
QM9_00855,C#CC1CN1,5,-6.5906,0.8762,7.4668,1.2763,45.22,17.704
QM9_00856,CCc1ccnc(=O)[nH]1,9,-6.3185,-1.4204,4.898,6.529,78.82,30.045
QM9_00857,CC1(O)CC2CC3C2C31,9,-6.8056,2.2014,9.0042,1.1386,80.51,32.78
QM9_00858,N#CC(N)C1NC1CO,9,-6.9634,0.5742,7.5376,3.2665,72.92,34.816
QM9_00859,C#CC(C=O)CCCO,9,-6.8654,-0.8735,5.9892,3.623,79.36,37.156
QM9_00860,N#CC1C2CNC(=O)N12,9,-7.4178,-0.351,7.0668,5.3211,65.7,27.025
QM9_00861,CC1=CCC2C(=O)OC12,9,-7.0233,-0.0789,6.9443,4.2429,73.6,28.982
QM9_00862,OC1C2(O)C=CC1(O)C2,9,-6.4709,0.1279,6.5988,3.6842,68.76,33.609
QM9_00863,CC1=CC2NC2C1C#N,9,-6.713,-0.1116,6.6015,4.9477,78.1,30.251
QM9_00864,CCCC12CCC1CO2,9,-6.4273,2.0218,8.4519,1.5112,85.74,35.195
QM9_00865,CC1C2C(O)C3CN1C32,9,-5.426,1.7579,7.1838,2.3292,77.45,31.192
QM9_00866,C#CC12CC3C(C1)C3C2,9,-6.909,1.6191,8.528,0.8727,84.04,29.935
QM9_00867,CCC12OCC3C1OC32,9,-6.4001,2.0082,8.4083,1.2275,74.42,30.233
QM9_00868,C#Cc1n[nH]ccc1=N,9,-5.6736,-1.298,4.3756,4.4944,84.08,28.999
QM9_00869,O=C1NC2CC1C1NC21,9,-6.3375,0.6422,6.9797,3.3975,70.25,26.647
QM9_00870,CC1CC12C=CC1NC12,9,-6.0001,0.4082,6.4083,1.3654,85.62,31.984
QM9_00871,CCOCc1ccno1,9,-6.8382,-0.1878,6.6505,3.3368,75.44,31.238
QM9_00872,[NH3+]C(CC1CC1)C(=O)[O-],9,-6.7675,0.5116,7.2763,5.0737,74.96,34.8
QM9_00873,CC#CC1(CO)CC1C,9,-6.3647,1.3061,7.6709,1.9318,89.09,38.58
QM9_00874,NC(=O)C1C2CN1C2,8,-6.6124,0.751,7.3634,2.3579,65.0,26.804
QM9_00875,Cc1nc(=O)cno1,8,-7.1049,-2.1198,4.9824,3.0992,59.25,24.119
QM9_00876,C1OC2C3NC24C1OC34,9,-4.6776,0.7238,5.4015,2.4642,73.41,28.525
QM9_00877,CC1CCCCC(=O)O1,9,-7.1811,-0.0327,7.1484,2.7957,78.36,33.835
QM9_00878,CC1CC2(C3CC3)OC12,9,-6.4219,2.3456,8.7675,1.8137,83.18,33.681
QM9_00879,COC12CC(CC1=O)C2,9,-6.03,-0.2667,5.7634,2.7235,75.29,31.264
QM9_00880,C1=CC2C3OC3CN2C1,9,-5.5457,0.5959,6.1443,0.8794,75.52,27.164
QM9_00881,C1CC23NC2CN2C1C23,9,-6.0273,2.1987,8.2233,0.9689,76.82,27.485
QM9_00882,CC(CC1CO1)C(N)=O,9,-6.6178,0.898,7.5158,1.8922,75.97,36.372
QM9_00883,CCC1C(=O)CCC1=O,9,-6.5552,-1.1374,5.4151,2.0579,75.85,33.258
QM9_00884,CC1=C2C(O)C3C2N3C1,9,-5.7226,-1.2272,4.4953,1.1691,79.7,30.888
QM9_00885,OC1C2CC13CCCN23,9,-5.6681,2.0545,7.7253,1.7662,79.25,30.975
QM9_00886,CC(C#N)C(C)NC=O,9,-7.2709,0.264,7.5348,5.687,76.79,36.119
QM9_00887,CCC12CC1CC(=O)O2,9,-7.2464,0.3211,7.5702,4.1391,75.45,31.967
QM9_00888,C#CC1=CCC=CC=C1,9,-5.9811,-1.0721,4.9089,0.8788,93.15,31.096
QM9_00889,CC1OC(=N)C1CC#N,9,-7.4886,0.2503,7.7389,5.6962,73.93,31.861
QM9_00890,O=C1CCC=C1C1CO1,9,-6.5715,-1.2762,5.2953,2.719,76.28,29.464
QM9_00891,C#CCC(C)C(C)C#C,9,-6.9389,1.2817,8.2206,0.8262,90.81,40.153
QM9_00892,CC(C)([NH3+])C(N)C(=O)[O-],9,-6.5525,0.6367,7.1892,5.4786,74.6,38.385
QM9_00893,O=c1ocnoc1=O,8,-8.3049,-2.7429,5.562,3.5435,47.23,21.187
QM9_00894,C1CC2C3C1C1OC3C21,9,-6.4192,2.1687,8.5879,1.8178,76.05,25.711
QM9_00895,C#CC(C=O)CC(N)=O,9,-6.5416,-0.4272,6.1117,6.0908,73.38,35.06
QM9_00896,NC(=O)C1CCCC1,8,-6.5743,0.9633,7.5376,3.3708,71.54,30.709
QM9_00897,CCC(C)CC1OC1C,9,-7.0015,2.3919,9.3934,1.7293,90.25,40.512
QM9_00898,O=CCc1nnon1,8,-7.5811,-2.2994,5.2817,1.4196,53.05,22.802
QM9_00899,C#CC(O)C(=O)C(N)=O,9,-6.9661,-2.2558,4.7076,3.2678,64.63,33.835
QM9_00900,CC12NC1C(C#N)C2O,9,-6.9416,0.732,7.6736,6.0559,73.06,31.808
QM9_00901,CC(O)C(CO)C(N)=O,9,-6.6369,0.6667,7.3035,1.6715,71.32,38.757
QM9_00902,COC12CCC1(C=O)C2,9,-6.0709,-0.5959,5.4749,2.4438,79.49,33.089
QM9_00903,CCC1CC1C,6,-7.1566,2.5579,9.7145,0.117,64.01,26.871
QM9_00904,CCC12CC(O)C1O2,8,-6.7103,2.1252,8.8383,2.2244,67.61,30.336
QM9_00905,OCCCC12CCN1C2,9,-6.1988,2.0926,8.2913,1.1846,82.77,35.282
QM9_00906,Cn1ncc(N)c1O,8,-5.6137,1.1048,6.7212,1.9678,64.03,28.483
QM9_00907,CC1CC2CC(O2)C1=O,9,-6.1824,-0.5742,5.6083,2.9149,74.01,30.448
QM9_00908,C#CC12C=CC(C1)N2C,9,-5.747,0.1388,5.8858,1.0731,83.32,32.262
QM9_00909,N=C(N)c1n[nH]nc1O,9,-6.2532,-0.7946,5.4586,4.6273,67.07,28.853
QM9_00910,C1OC2CC2C2CC1C2,9,-6.5879,2.2232,8.811,1.2169,81.22,29.998
QM9_00911,CNC(=O)CCNC=O,9,-6.6994,0.7129,7.4124,1.8283,74.69,35.693
QM9_00912,OCC1C2CC3OC1C32,9,-6.5471,1.5456,8.0899,2.2125,73.5,29.733
QM9_00913,Cc1cc(O)nn1C,8,-5.6627,0.8027,6.4654,2.5897,68.23,29.264
QM9_00914,CC1CCCCC(O)C1,9,-7.0287,2.0599,9.0886,1.4753,88.41,37.828
QM9_00915,O=C1NCC2CC3C2N13,9,-6.5307,0.9796,7.5103,4.9352,71.32,26.935
QM9_00916,CC(O)CC1CC(O)C1,9,-6.8056,1.9102,8.7158,1.8569,82.76,38.733
QM9_00917,Cc1noc(N)nc1=N,9,-6.5661,-1.1728,5.3906,3.1369,73.59,30.755
QM9_00918,Cn1nccc(F)c1=N,9,-5.7416,-1.3823,4.3593,2.0688,73.91,28.679
QM9_00919,CC1(C)CCOC=N1,8,-6.6369,0.8218,7.4586,1.9763,72.0,30.447
QM9_00920,CC1C(O)CC1NC=O,9,-6.5743,1.0259,7.6001,4.4077,77.34,34.91
QM9_00921,OCC1=NCC2CC2O1,9,-6.8872,0.6068,7.494,3.9111,72.9,30.488
QM9_00922,C#CC(C#N)C(C)(C)C,9,-7.7226,0.351,8.0736,3.7858,84.5,39.047
QM9_00923,Cc1c[nH]nc1C,7,-6.1743,0.9089,7.0831,1.952,62.78,25.519
QM9_00924,N#CC12NC3C=CC1C32,9,-6.4518,-0.6367,5.8151,4.2915,75.48,26.495
QM9_00925,NC1=C(C=O)C2CC1O2,9,-5.8151,-0.9796,4.8355,5.9036,75.78,29.553
QM9_00926,N#Cc1cncc(O)c1,9,-7.0505,-1.8259,5.2246,3.7629,75.46,26.784
QM9_00927,CC1OCC2(O)CC12O,9,-6.5988,1.4694,8.0682,2.4583,70.91,34.632
QM9_00928,CCC(C)(C)N(C)C=O,9,-6.3729,0.9225,7.2954,4.1364,86.63,41.05
QM9_00929,C#CCC1C=CCC1O,9,-6.7239,0.3837,7.1103,1.3782,82.61,33.971
QM9_00930,CC1(C)CC2CC2(O)C1,9,-6.4437,1.7633,8.207,1.5062,84.36,37.275
QM9_00931,OCC1CC2(O)CC12,8,-6.7267,2.1225,8.8491,2.0631,67.9,30.956
QM9_00932,C#CC(C#N)(C#N)OC,9,-8.6151,-1.4095,7.2056,2.8937,69.32,32.547
QM9_00933,CCC12C=CC(C1)C2C,9,-6.0056,0.4272,6.4328,0.2203,89.86,35.425
QM9_00934,C#CC(N)C(C#N)NC,9,-6.909,0.4544,7.3634,3.1069,79.14,36.741
QM9_00935,CC#CC(CO)OC,8,-6.792,0.9633,7.7552,2.6608,73.62,33.978
QM9_00936,N#CC12CN1C(=N)C2N,9,-7.2845,-0.7728,6.5117,4.2974,73.42,30.074
QM9_00937,COC(=O)COC(N)=O,9,-7.3416,0.3565,7.6981,1.6643,62.17,33.237
QM9_00938,OCCc1cnccn1,9,-6.6967,-1.3796,5.3171,1.3934,77.89,29.573
QM9_00939,CCC1(C#N)C2CCN21,9,-6.8926,0.6204,7.5131,5.1906,80.02,32.688
QM9_00940,O=COC12CCC(C1)C2,9,-7.3988,0.1959,7.5947,4.3081,75.99,30.063
QM9_00941,CC1C=CC2C(O)C12C,9,-6.0001,0.2395,6.2368,1.5327,82.89,35.219
QM9_00942,CC1=CCC=CCC=C1,9,-5.6028,-0.381,5.2219,0.2087,93.3,33.862
QM9_00943,O=CC1=CC2COC1O2,9,-7.0124,-1.9864,5.0232,4.1703,68.09,26.069
QM9_00944,O=CC12CC(O)(C1)C2=O,9,-6.8056,-1.064,5.7416,3.3406,68.69,30.252
QM9_00945,COC1CC2C3OC2C13,9,-6.2015,2.147,8.3485,2.7835,75.01,29.479
QM9_00946,CCC(C)C(=O)CO,8,-7.1049,-0.6259,6.479,3.0215,71.93,34.907
QM9_00947,C#CC(COC=N)=NO,9,-6.9144,-1.2572,5.6572,3.5859,75.49,33.331
QM9_00948,CC1CC1(O)CN1CC1,9,-6.3675,2.2068,8.577,1.0029,83.73,36.927
QM9_00949,CCC1CC(C=O)C1,8,-6.6396,-0.4789,6.1607,3.1354,76.41,31.91
QM9_00950,CC(O)CCC(C)CO,9,-7.1348,1.9837,9.1185,0.0827,86.2,42.787
QM9_00951,N=c1cnc(=N)[nH]cn1,9,-7.0097,-2.3266,4.6831,2.2152,78.72,26.704
QM9_00952,CC1C2C3CC1(C#N)C32,9,-7.3525,0.498,7.8505,4.2981,80.09,30.248
QM9_00953,CCCCOCC(C)O,9,-6.9144,2.0844,8.9988,1.8088,87.5,41.814
QM9_00954,CC(=O)C(O)CCC#N,9,-7.6491,-1.1538,6.4954,3.9708,73.71,35.142
QM9_00955,O=CCOc1cnno1,9,-6.9879,-1.4721,5.513,2.2525,63.02,28.16
QM9_00956,C1=C2CN=C3NC(C1)C23,9,-5.6409,-0.1007,5.5402,2.5511,77.58,26.258
QM9_00957,CNCc1nonc1N,9,-6.4464,-0.6585,5.7879,5.083,71.76,31.455
QM9_00958,C#CC1COC1(C)CC,9,-6.7294,1.0313,7.7634,1.0917,84.48,37.457
QM9_00959,C1=CC23CC4N2CC43C1,9,-5.9185,-0.0435,5.8749,2.2264,80.71,27.12
QM9_00960,COCC1OC(C)C1O,9,-6.7457,1.3878,8.1335,1.2674,76.06,36.593
QM9_00961,CC12C3=CC4C1N4C2C3,9,-5.6872,-0.8762,4.811,0.9518,80.96,28.451
QM9_00962,CCOCC(CO)OC,9,-6.6668,2.0789,8.7457,1.8348,79.37,39.064
QM9_00963,N#CC12C3CN4C3C1C42,9,-6.5852,0.2667,6.8545,3.5505,73.84,25.078
QM9_00964,N=C1CC2(O)CCC2O1,9,-6.8872,0.7483,7.6355,3.133,72.4,30.931
QM9_00965,CC1CCc2c[nH]nc21,9,-6.1851,0.6231,6.8083,1.8919,81.52,30.123
QM9_00966,N#CC12NC1CC21CC1,9,-6.792,0.1959,6.9879,3.3609,78.58,30.091
QM9_00967,CC1OC2CC1C(=O)O2,9,-7.279,0.166,7.4478,3.8132,66.61,28.018
QM9_00968,c1nc(C2COC2)co1,9,-6.7158,-0.049,6.6668,1.7057,69.28,26.624
QM9_00969,Oc1nc2n(n1)CC2,8,-6.1988,0.4653,6.6641,3.6975,60.15,23.011
QM9_00970,OCCN1C2C3OC2C31,9,-6.0056,1.7633,7.7716,2.7493,71.94,30.318
QM9_00971,N=C1OC2C(=O)C=CC12,9,-6.9062,-2.0028,4.9035,2.5334,69.39,25.899
QM9_00972,[NH2+]=c1ccnccc1[O-],9,-6.128,-1.766,4.3647,3.4464,83.95,28.276
QM9_00973,C1C2C3C1N2C31COC1,9,-6.4954,1.9674,8.4627,2.7672,75.68,27.457
QM9_00974,CCC1(C)CC2(C)OC12,9,-6.5824,2.313,8.8981,1.7375,85.74,38.056
QM9_00975,O=CN1CC2C1C1CN21,9,-6.5498,0.4735,7.0233,2.8616,73.36,27.805
QM9_00976,OC12CCCC(C1)OC2,9,-6.5906,1.8585,8.4491,1.6782,76.42,31.899
QM9_00977,O=CC(O)c1ccno1,9,-7.3144,-1.464,5.8504,3.912,64.9,27.849
QM9_00978,CC1(O)C(=O)COC1=O,9,-7.1838,-1.5157,5.6681,2.0489,61.27,31.08
QM9_00979,C#CC12CC(C#N)(C1)C2,9,-7.5185,0.3048,7.826,3.8155,83.51,30.31
QM9_00980,COC=NCC(=O)OC,9,-6.5335,0.2449,6.7784,2.2512,73.7,34.981
QM9_00981,C#Cc1cn[nH]c(=O)c1,9,-6.6695,-2.2204,4.4491,3.1659,78.35,27.538
QM9_00982,N#CC12CCN1CC2O,9,-6.5062,-0.0082,6.4981,3.7137,72.73,30.466
QM9_00983,C#CC(C#CC)OC,8,-6.9525,0.4082,7.3607,1.8673,75.93,33.074
QM9_00984,O=C1CC2(O1)C1CCC12,9,-7.2763,0.2939,7.5702,4.3073,72.74,28.685
QM9_00985,CC(=O)C#CC(O)C#N,9,-7.562,-1.981,5.5811,2.2085,73.33,32.996
QM9_00986,CC1CNC(=O)C(C)O1,9,-6.3239,0.7592,7.0831,3.5537,76.42,34.227
QM9_00987,CC12C=CC3C(CO1)C32,9,-6.1688,0.2449,6.4137,1.4146,78.1,29.497
QM9_00988,CC1C2C3(C)NC3C12C,9,-5.3225,2.2204,7.543,1.8528,87.52,36.612
QM9_00989,C#CC1(C)CO1,6,-7.1185,0.7157,7.8342,1.7508,52.23,22.957
QM9_00990,CCc1[nH]cc(N)c1O,9,-4.7702,1.2653,6.0355,2.8311,80.22,35.732
